Num,GameID,DateTime,PlayerNum
1,550,2020-06-01 0:00,13618
2,550,2020-06-02 0:00,12915
3,550,2020-06-03 0:00,12649
4,550,2020-06-04 0:00,13174
5,550,2020-06-05 0:00,14999
6,550,2020-06-06 0:00,16580
7,550,2020-06-07 0:00,15058
8,550,2020-06-08 0:00,13093
9,550,2020-06-09 0:00,13004
10,550,2020-06-10 0:00,13039
11,550,2020-06-11 0:00,12770
12,550,2020-06-12 0:00,14580
13,550,2020-06-13 0:00,16059
14,550,2020-06-14 0:00,14644
15,550,2020-06-15 0:00,12929
16,550,2020-06-16 0:00,12901
17,550,2020-06-17 0:00,13563
18,550,2020-06-18 0:00,13394
19,550,2020-06-19 0:00,14903
20,550,2020-06-20 0:00,16016
21,550,2020-06-21 0:00,14614
22,550,2020-06-22 0:00,13116
23,550,2020-06-23 0:00,12939
24,550,2020-06-24 0:00,14450
25,550,2020-06-25 0:00,14246
26,550,2020-06-26 0:00,20367
27,550,2020-06-27 0:00,21661
28,550,2020-06-28 0:00,22688
29,550,2020-06-29 0:00,22177
30,550,2020-06-30 0:00,23566
31,550,2020-07-01 0:00,23098
32,550,2020-07-02 0:00,23567
33,550,2020-07-03 0:00,25134
34,550,2020-07-04 0:00,26118
35,550,2020-07-05 0:00,24620
36,550,2020-07-06 0:00,23405
37,550,2020-07-07 0:00,22871
38,550,2020-07-08 0:00,22434
39,550,2020-07-09 0:00,21979
40,550,2020-07-10 0:00,21969
41,550,2020-07-11 0:00,22881
42,550,2020-07-12 0:00,20646
43,550,2020-07-13 0:00,18761
44,550,2020-07-14 0:00,18513
45,550,2020-07-15 0:00,17591
46,550,2020-07-16 0:00,16923
47,550,2020-07-17 0:00,18287
48,550,2020-07-18 0:00,19622
49,550,2020-07-19 0:00,18726
50,550,2020-07-20 0:00,17362
51,550,2020-07-21 0:00,17028
52,550,2020-07-22 0:00,17078
53,550,2020-07-23 0:00,16310
54,550,2020-07-24 0:00,17518
55,550,2020-07-25 0:00,18356
56,550,2020-07-26 0:00,18005
57,550,2020-07-27 0:00,16630
58,550,2020-07-28 0:00,16690
59,550,2020-07-29 0:00,16946
60,550,2020-07-30 0:00,16911
61,550,2020-07-31 0:00,17857
62,550,2020-08-01 0:00,18833
63,550,2020-08-02 0:00,18367
64,550,2020-08-03 0:00,17357
65,550,2020-08-04 0:00,18093
66,550,2020-08-05 0:00,16835
67,550,2020-08-06 0:00,16696
68,550,2020-08-07 0:00,17309
69,550,2020-08-08 0:00,18283
70,550,2020-08-09 0:00,18087
71,550,2020-08-10 0:00,16616
72,550,2020-08-11 0:00,16815
73,550,2020-08-12 0:00,16405
74,550,2020-08-13 0:00,16166
75,550,2020-08-14 0:00,16965
76,550,2020-08-15 0:00,17838
77,550,2020-08-16 0:00,18031
