NODE_ID,NODE_NAME,경도,위도,,,,,변환전 위도,변환전 경도
1160001700,만민중앙교회앞교차로,126.8924913,37.48149968,,,,,190491.1523,542456.2601
1160002000,구로남초교입구교차로,126.8935072,37.48233021,,,,,190581.1108,542548.3353
1160002300,디지털1단지교차로,126.8953708,37.48455846,,,,,190746.2112,542795.4566
1160002400,천왕사거리,126.8398288,37.48489462,,,,,185833.9358,542839.6739
1160002600,구로구-금천구,126.8787546,37.48655874,,,,,189276.899,543019.2248
1160002700,신영카센터,126.8803689,37.48812848,,,,,189419.8897,543193.2617
1160003000,구로구-부천시,126.8203513,37.49089318,,,,,184112.5515,543508.5452
1160003100,대림역앞교차로,126.8951579,37.49185213,,,,,190728.2834,543604.9796
1160003200,온수역교차로,126.8218597,37.49192949,,,,,184246.1664,543623.3085
1160003500,수궁동사무소입구삼거,126.8316028,37.49322812,,,,,185108.0483,543765.853
1160003600,개봉고가차도,126.856186,37.49365846,,,,,187282.1017,543810.0106
1160003900,거리공원오거리,126.8931662,37.49753856,,,,,190552.8625,544236.2974
1160004300,AK플라자앞교차로,126.8825139,37.50066091,,,,,189611.3312,544583.9595
1160004600,도림유수지옆금호아파,126.8926414,37.50215132,,,,,190507.0395,544748.3069
1160004900,구로구-부천시,126.8228208,37.50596705,,,,,184334.0902,545181.1369
1160005100,신도림역앞교차로,126.8930807,37.50712568,,,,,190546.5094,545300.3529
1160005200,구로구-부천시,126.8208061,37.49063357,,,,,184152.7171,543479.6546
1160005300,광화교삼거리,126.8449477,37.47457872,,,,,186284.7822,541693.9876
1160005600,구로구-광명시,126.8500022,37.48162917,,,,,186733.1259,542475.7695
1160005700,광명교삼거리,126.8463197,37.48175726,,,,,186407.4378,542490.5114
1160005701,천왕동257-82,126.8473111,37.482295,,,,,186495.2234,542550.0508
1160005800,광명교교차로,126.8459605,37.48183904,,,,,186375.6878,542499.6395
1160005900,동일테크노타운,126.8973772,37.48180035,,,,,190923.328,542489.1479
1160006100,개명교,126.8501192,37.48191233,,,,,186743.5255,542507.1802
1160006200,햇살무리예능선교원,126.8872322,37.4826927,,,,,190026.1506,542589.2135
1160006300,성광교회,126.8417635,37.48327934,,,,,186004.7412,542660.1097
1160006400,벽산디지털밸리Ⅲ,126.894463,37.48338953,,,,,190665.7777,542665.8105
1160006500,이-스페이스,126.8917544,37.48361534,,,,,190426.2411,542691.1444
1160006600,구로단지우체국,126.8986647,37.48369001,,,,,191037.4298,542698.7512
1160006700,개웅교,126.8539204,37.4837203,,,,,187080.0377,542707.3128
1160006800,목양교회앞,126.8221954,37.48416223,,,,,184274.2194,542761.1873
1160006900,구로3동천주교회,126.8895534,37.48428199,,,,,190231.6661,542765.3602
