날짜,현재수위,유입량,방류량
2018-04-29 0:00,25.09,326,326
2018-04-29 0:10,25.09,326,326
2018-04-29 0:20,25.09,326,326
2018-04-29 0:30,25.09,326,326
2018-04-29 0:40,25.1,428,326
2018-04-29 0:50,25.1,326,326
2018-04-29 1:00,25.1,326,326
2018-04-29 1:10,25.1,326,326
2018-04-29 1:20,25.1,326,326
2018-04-29 1:30,25.09,326,326
2018-04-29 1:40,25.09,224,326
2018-04-29 1:50,25.07,123,326
2018-04-29 2:00,25.07,123,326
2018-04-29 2:10,25.07,326,326
2018-04-29 2:20,25.06,225,326
2018-04-29 2:30,25.06,225,326
2018-04-29 2:40,25.06,326,326
2018-04-29 2:50,25.06,326,326
2018-04-29 3:00,25.06,326,326
2018-04-29 3:10,25.06,326,326
2018-04-29 3:20,25.06,326,326
2018-04-29 3:30,25.06,326,326
2018-04-29 3:40,25.06,326,326
2018-04-29 3:50,25.06,326,326
2018-04-29 4:00,25.06,326,326
2018-04-29 4:10,25.05,227,328
2018-04-29 4:20,25.05,328,328
2018-04-29 4:30,25.05,328,328
2018-04-29 4:40,25.05,328,328
2018-04-29 4:50,25.05,328,328
2018-04-29 5:00,25.05,328,328
2018-04-29 5:10,25.04,227,328
2018-04-29 5:20,25.04,328,328
2018-04-29 5:30,25.04,328,328
2018-04-29 5:40,25.04,328,328
2018-04-29 5:50,25.04,328,328
2018-04-29 6:00,25.04,276,276
2018-04-29 6:10,25.05,357,256
2018-04-29 6:20,25.04,155,256
2018-04-29 6:30,25.04,155,256
2018-04-29 6:40,25.04,256,256
2018-04-29 6:50,25.04,255,255
2018-04-29 7:00,25.04,255,255
2018-04-29 7:10,25.04,255,255
2018-04-29 7:20,25.04,255,255
2018-04-29 7:30,25.04,255,255
2018-04-29 7:40,25.04,274,274
2018-04-29 7:50,25.04,293,293
2018-04-29 8:00,25.04,294,294
2018-04-29 8:10,25.04,294,294
2018-04-29 8:20,25.07,596,293
2018-04-29 8:30,25.07,597,294
2018-04-29 8:40,25.09,529,326
2018-04-29 8:50,25.09,358,358
2018-04-29 9:00,25.09,358,358
2018-04-29 9:10,25.09,359,359
2018-04-29 9:20,25.09,359,359
2018-04-29 9:30,25.09,360,360
2018-04-29 9:40,25.09,366,366
2018-04-29 9:50,25.07,366,366
2018-04-29 10:00,25.07,366,366
2018-04-29 10:10,25.07,484,484
2018-04-29 10:20,25.06,393,494
2018-04-29 10:30,25.06,394,495
2018-04-29 10:40,25.09,793,489
2018-04-29 10:50,25.09,495,495
2018-04-29 11:00,25.09,495,495
2018-04-29 11:10,25.1,597,495
2018-04-29 11:20,25.1,495,495
2018-04-29 11:30,25.1,495,495
2018-04-29 11:40,25.1,497,497
2018-04-29 11:50,25.1,497,497
2018-04-29 12:00,25.1,497,497
2018-04-29 12:10,25.1,497,497
2018-04-29 12:20,25.09,395,497
2018-04-29 12:30,25.09,497,497
2018-04-29 12:40,25.09,497,497
2018-04-29 12:50,25.09,497,497
2018-04-29 13:00,25.09,497,497
2018-04-29 13:10,25.09,497,497
2018-04-29 13:20,25.09,497,497
2018-04-29 13:30,25.09,497,497
2018-04-29 13:40,25.09,497,497
2018-04-29 13:50,25.09,497,497
2018-04-29 14:00,25.09,497,497
2018-04-29 14:10,25.09,497,497
2018-04-29 14:20,25.09,497,497
2018-04-29 14:30,25.09,497,497
2018-04-29 14:40,25.09,497,497
2018-04-29 14:50,25.09,497,497
2018-04-29 15:00,25.09,497,497
2018-04-29 15:10,25.09,498,498
2018-04-29 15:20,25.07,295,498
2018-04-29 15:30,25.07,504,504
2018-04-29 15:40,25.07,498,498
2018-04-29 15:50,25.07,504,504
2018-04-29 16:00,25.07,504,504
2018-04-29 16:10,25.07,498,498
2018-04-29 16:20,25.07,492,492
2018-04-29 16:30,25.07,498,498
2018-04-29 16:40,25.07,498,498
2018-04-29 16:50,25.06,504,504
2018-04-29 17:00,25.06,504,504
2018-04-29 17:10,25.06,504,504
2018-04-29 17:20,25.06,498,498
2018-04-29 17:30,25.06,498,498
2018-04-29 17:40,25.06,504,504
2018-04-29 17:50,25.06,498,498
2018-04-29 18:00,25.06,546,546
2018-04-29 18:10,25.05,454,555
2018-04-29 18:20,25.05,549,549
2018-04-29 18:30,25.05,549,549
2018-04-29 18:40,25.05,549,549
2018-04-29 18:50,25.05,549,549
2018-04-29 19:00,25.05,549,549
2018-04-29 19:10,25.04,448,549
2018-04-29 19:20,25.05,657,556
2018-04-29 19:30,25.05,657,556
2018-04-29 19:40,25.04,455,556
2018-04-29 19:50,25.04,556,556
2018-04-29 20:00,25.04,556,556
2018-04-29 20:10,25.04,556,556
2018-04-29 20:20,25.04,556,556
2018-04-29 20:30,25.04,556,556
2018-04-29 20:40,25.04,556,556
2018-04-29 20:50,25.04,556,556
2018-04-29 21:00,25.04,556,556
2018-04-29 21:10,25.04,556,556
2018-04-29 21:20,25.03,457,558
2018-04-29 21:30,25.03,457,558
2018-04-29 21:40,25.03,558,558
2018-04-29 21:50,25.03,558,558
2018-04-29 22:00,25.03,564,564
2018-04-29 22:10,25.02,463,564
2018-04-29 22:20,25.02,564,564
2018-04-29 22:30,25.02,564,564
2018-04-29 22:40,25.02,564,564
2018-04-29 22:50,25.04,739,537
2018-04-29 23:00,25.04,469,267
2018-04-29 23:10,25.05,265,164
2018-04-29 23:20,25.04,62,163
2018-04-29 23:30,25.04,61,162
2018-04-29 23:40,25.04,168,168
2018-04-29 23:50,25.01,-35,167
2018-04-30 0:00,25.01,-35,167
2018-04-30 0:10,25,72,173
2018-04-30 0:20,25,173,173
