날짜,현재수위,유입량,방류량
2015-04-29 0:00,25.2,145,145
2015-04-29 0:10,25.19,132.9,132.9
2015-04-29 0:20,25.182,32.9,132.9
2015-04-29 0:30,25.179,32.9,132.9
2015-04-29 0:40,25.179,32.9,132.9
2015-04-29 0:50,25.183,32.8,132.8
2015-04-29 1:00,25.19,127,127
2015-04-29 1:10,25.19,132.7,132.7
2015-04-29 1:20,25.199,232.7,132.7
2015-04-29 1:30,25.199,232.6,132.6
2015-04-29 1:40,25.199,232.6,132.6
2015-04-29 1:50,25.199,232.6,132.6
2015-04-29 2:00,25.19,127,127
2015-04-29 2:10,25.199,132.6,132.6
2015-04-29 2:20,25.193,32.7,132.7
2015-04-29 2:30,25.19,32.7,132.7
2015-04-29 2:40,25.186,32.6,132.6
2015-04-29 2:50,25.179,-67.3,132.7
2015-04-29 3:00,25.18,27,127
2015-04-29 3:10,25.179,132.7,132.7
2015-04-29 3:20,25.179,132.7,132.7
2015-04-29 3:30,25.179,132.7,132.7
2015-04-29 3:40,25.179,132.7,132.7
2015-04-29 3:50,25.179,132.7,132.7
2015-04-29 4:00,25.18,127,127
2015-04-29 4:10,25.179,132.7,132.7
2015-04-29 4:20,25.179,132.7,132.7
2015-04-29 4:30,25.179,126.7,126.7
2015-04-29 4:40,25.169,32.7,132.7
2015-04-29 4:50,25.169,32.7,132.7
2015-04-29 5:00,25.17,27,127
2015-04-29 5:10,25.169,132.7,132.7
2015-04-29 5:20,25.169,132.7,132.7
2015-04-29 5:30,25.149,-67.1,132.9
2015-04-29 5:40,25.157,32.8,132.8
2015-04-29 5:50,25.149,-67.1,132.9
2015-04-29 6:00,25.16,27,127
2015-04-29 6:10,25.169,132.7,132.7
2015-04-29 6:20,25.169,132.7,132.7
2015-04-29 6:30,25.169,132.7,132.7
2015-04-29 6:40,25.161,32.8,132.8
2015-04-29 6:50,25.169,132.7,132.7
2015-04-29 7:00,25.15,33,133
2015-04-29 7:10,25.146,168.8,168.8
