ÀÏÀÚ,°æº¹±Ã(À¯·á),°æº¹±Ã(¹«·á),°æº¹±Ã(³»±¹ÀÎ),°æº¹±Ã(¿µ¾î±Ç),°æº¹±Ã(ÀÏº»¾î±Ç),°æº¹±Ã(Áß±¹¾î±Ç),°æº¹±Ã(±âÅ¸¿Ü±¹ÀÎ),´ö¼ö±Ã(À¯·á),´ö¼ö±Ã(¹«·á),´ö¼ö±Ã(³»±¹ÀÎ),´ö¼ö±Ã(¿µ¾î±Ç),´ö¼ö±Ã(ÀÏº»¾î±Ç),´ö¼ö±Ã(Áß±¹¾î±Ç),´ö¼ö±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢°æ±Ã(À¯·á),Ã¢°æ±Ã(¹«·á),Ã¢°æ±Ã(³»±¹ÀÎ),Ã¢°æ±Ã(¿µ¾î±Ç),Ã¢°æ±Ã(ÀÏº»¾î±Ç),Ã¢°æ±Ã(Áß±¹¾î±Ç),Ã¢°æ±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢´ö±Ã(À¯·á),Ã¢´ö±Ã(¹«·á),Ã¢´ö±Ã(³»±¹ÀÎ),Ã¢´ö±Ã(¿µ¾î±Ç),Ã¢´ö±Ã(ÀÏº»¾î±Ç),Ã¢´ö±Ã(Áß±¹¾î±Ç),Ã¢´ö±Ã(±âÅ¸¿Ü±¹ÀÎ)
2019-01-01,7035,2863,7937,202,147,844,768,1928,3131,3859,300,194,365,341,1105,498,1395,159,18,3,28,3105,1012,2293,968,232,144,480
2019-01-02,5634,2428,6350,459,183,285,785,812,2521,2685,272,142,129,105,434,322,575,136,7,5,33,1582,541,923,529,115,56,500
2019-01-03,5160,2486,6209,42,99,143,1153,738,3123,3255,238,223,48,97,460,418,746,80,29,0,23,1400,609,1098,442,204,28,237
2019-01-04,4341,2677,5630,457,163,146,622,1102,2997,3465,188,173,107,166,600,393,821,140,21,10,1,1485,578,1025,589,220,19,210
2019-01-05,6366,3199,8607,274,52,355,277,1514,5160,5909,315,188,135,127,1039,630,1544,68,22,15,20,1601,655,1542,445,94,33,142
2019-01-06,5179,2494,6423,301,160,132,657,1769,4170,5142,215,76,87,419,861,538,1275,89,4,8,23,1695,567,1600,427,46,38,151
2019-01-07,4172,1830,4190,180,103,382,1147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-08,0,315,297,0,0,0,18,1322,2802,3082,157,85,390,410,472,381,782,37,5,5,24,1774,679,1175,737,102,71,368
2019-01-09,4129,2106,4307,487,44,722,675,706,2303,2496,170,78,164,101,389,299,605,40,2,2,39,845,425,695,392,45,15,123
2019-01-10,3599,2637,4922,236,91,219,768,898,3502,3953,151,60,50,186,457,440,837,33,3,9,15,1057,504,903,441,29,53,135
2019-01-11,4661,2538,4167,452,63,556,1961,1150,3632,4233,169,60,167,153,565,522,1012,43,3,9,20,1185,680,1131,525,27,20,162
2019-01-12,7173,4976,9337,406,111,1301,994,1792,5369,6535,246,100,136,144,1364,799,2080,70,6,5,2,2173,994,2179,637,45,39,267
2019-01-13,6391,3341,8354,455,103,120,700,1701,3745,4429,276,180,129,432,1016,645,1544,36,14,42,25,2218,815,1879,852,88,41,173
2019-01-14,3726,1703,4190,177,105,400,557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-15,0,23,22,0,0,0,1,1138,1705,1914,168,80,418,263,400,304,595,81,13,10,5,1751,761,1198,876,36,44,358
2019-01-16,4951,2296,5282,379,47,1036,503,883,2611,2906,99,70,207,212,353,355,654,34,7,8,5,977,453,783,516,33,15,83
2019-01-17,4271,2140,5092,479,26,233,581,924,3193,3662,98,69,84,204,500,485,928,52,1,2,2,1022,523,935,366,66,29,149
2019-01-18,4448,2286,5471,501,66,88,608,1216,3269,3884,143,85,123,250,634,574,1124,62,5,8,9,1194,623,1201,350,47,16,203
2019-01-19,7563,3871,9897,218,169,340,810,1943,5146,6405,229,103,189,163,1502,954,2344,77,4,4,27,2326,974,2147,686,57,35,375
2019-01-20,6335,3239,7246,289,119,771,1149,1761,3944,4731,224,90,313,347,856,621,1380,70,4,4,19,2020,865,1769,796,104,68,148
2019-01-21,4308,2135,5206,2,9,394,832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-22,0,22,18,4,0,0,0,1983,4022,4508,187,115,848,347,650,674,1204,59,26,11,24,1961,1058,1553,892,115,101,358
2019-01-23,5464,2522,6072,344,70,876,624,1322,3426,3823,143,67,367,348,540,555,935,71,8,40,41,966,648,967,420,60,52,115
2019-01-24,5289,2556,5708,11,14,1577,535,1231,3882,4600,81,35,197,200,688,639,1190,100,8,18,11,1210,562,1013,391,46,67,255
2019-01-25,5383,2550,5423,279,113,1046,1072,1165,2988,3400,120,66,371,196,623,521,1064,59,7,12,2,1268,521,1055,542,33,38,121
2019-01-26,8561,4223,8908,391,47,1769,1669,1864,4027,5305,142,48,270,126,1485,845,2181,94,3,23,29,2027,1000,2105,819,20,53,30
2019-01-27,7632,3619,9337,301,86,1012,515,1979,4153,5257,213,81,372,209,1166,764,1752,118,14,7,39,2173,968,1945,508,78,86,524
2019-01-28,5109,2534,4957,231,134,1211,1110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-29,0,379,366,0,0,0,13,1790,3287,3635,185,122,841,294,634,733,1217,76,17,17,40,1854,1000,1708,670,44,95,337
2019-01-30,0,11302,5029,904,643,1219,3507,0,5256,4744,128,45,137,202,0,2462,2269,0,0,0,193,239,3705,2972,532,147,292,1
2019-01-31,3337,1980,4159,42,36,581,499,622,1915,2113,91,38,180,115,297,320,538,51,5,10,13,586,314,611,182,15,42,50
2019-02-01,3001,1873,2641,276,61,1029,867,887,2540,3094,94,24,112,103,306,354,612,23,5,4,16,641,376,634,230,16,40,97
2019-02-02,0,16665,10336,2040,424,1164,2701,0,6383,5443,242,80,213,405,0,3890,3547,0,0,0,343,493,4486,2926,842,455,737,19
2019-02-03,0,8513,3828,695,396,902,2692,0,3312,2482,160,12,318,340,0,1318,1178,0,0,0,140,255,1667,1228,307,75,308,4
2019-02-04,0,33192,25519,2104,642,1368,3559,0,9615,7610,224,10,246,1525,0,7140,6728,0,0,0,412,732,9557,8270,1405,229,385,0
2019-02-05,0,67146,55387,1430,1285,2246,6798,0,19876,16825,499,61,1464,1027,0,16032,15082,0,0,0,950,893,18344,16422,1389,231,1185,10
2019-02-06,0,51510,41653,1768,379,3482,4228,0,14405,12764,330,53,616,642,0,9500,8911,0,0,0,589,854,12668,11659,1279,194,356,34
2019-02-07,6429,3013,5598,180,56,1761,1847,851,1739,1885,130,33,190,352,463,416,805,29,0,5,40,1100,487,835,407,22,122,201
