ÀÏÀÚ,°æº¹±Ã(À¯·á),°æº¹±Ã(¹«·á),°æº¹±Ã(³»±¹ÀÎ),°æº¹±Ã(¿µ¾î±Ç),°æº¹±Ã(ÀÏº»¾î±Ç),°æº¹±Ã(Áß±¹¾î±Ç),°æº¹±Ã(±âÅ¸¿Ü±¹ÀÎ),´ö¼ö±Ã(À¯·á),´ö¼ö±Ã(¹«·á),´ö¼ö±Ã(³»±¹ÀÎ),´ö¼ö±Ã(¿µ¾î±Ç),´ö¼ö±Ã(ÀÏº»¾î±Ç),´ö¼ö±Ã(Áß±¹¾î±Ç),´ö¼ö±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢°æ±Ã(À¯·á),Ã¢°æ±Ã(¹«·á),Ã¢°æ±Ã(³»±¹ÀÎ),Ã¢°æ±Ã(¿µ¾î±Ç),Ã¢°æ±Ã(ÀÏº»¾î±Ç),Ã¢°æ±Ã(Áß±¹¾î±Ç),Ã¢°æ±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢´ö±Ã(À¯·á),Ã¢´ö±Ã(¹«·á),Ã¢´ö±Ã(³»±¹ÀÎ),Ã¢´ö±Ã(¿µ¾î±Ç),Ã¢´ö±Ã(ÀÏº»¾î±Ç),Ã¢´ö±Ã(Áß±¹¾î±Ç),Ã¢´ö±Ã(±âÅ¸¿Ü±¹ÀÎ)
2016-01-01,17512,5721,15247,460,380,6678,468,3280,2280,5024,139,84,241,72,1267,680,1881,56,9,0,1,4091,2140,4898,338,122,138,735
2016-01-02,16708,7631,16387,280,238,6969,465,3444,2515,5158,251,104,371,75,1485,892,2252,87,0,29,9,4240,2063,4933,735,115,211,309
2016-01-03,9132,2818,7279,274,189,3879,329,2039,1548,3154,135,50,216,32,861,573,1359,59,5,5,6,2893,1676,3311,535,75,125,523
2016-01-04,5716,2126,4189,170,103,2866,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-05,0,0,0,0,0,0,0,1192,1105,1707,104,85,383,18,402,450,720,64,35,28,5,2468,1246,1767,421,248,345,933
2016-01-06,7348,2021,4142,222,206,4620,179,955,888,1501,65,47,200,30,254,282,486,23,15,9,3,1016,689,1160,306,78,53,108
2016-01-07,6726,1658,3477,222,87,4375,223,906,973,1596,60,41,138,44,289,400,660,19,4,5,1,1130,927,1606,308,60,14,69
2016-01-08,5837,1362,3121,155,73,3596,254,794,976,1454,70,27,198,21,243,293,472,47,10,6,1,1042,700,1254,302,41,60,85
2016-01-09,9776,3036,6616,265,73,5470,388,1698,1792,2962,88,49,313,78,678,497,1120,24,9,22,0,1837,1051,2031,245,68,159,385
2016-01-10,10766,2635,7456,303,198,5210,234,1752,1402,2581,153,45,317,58,712,422,1026,52,22,14,20,2265,1444,2792,435,161,76,245
2016-01-11,6614,1522,3859,43,135,3853,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-12,0,0,0,0,0,0,0,1092,1012,1438,120,79,361,106,322,379,632,12,14,13,30,2107,1154,2039,779,73,172,198
2016-01-13,7502,1418,3460,156,111,4955,238,746,849,1438,59,28,52,18,223,245,444,19,0,0,5,1004,662,1268,278,26,8,86
2016-01-14,7032,1759,3205,244,118,5061,163,627,908,1307,57,42,76,53,324,390,622,43,10,30,9,1123,1057,1595,401,43,88,53
2016-01-15,6980,1636,3571,115,119,4570,241,809,1087,1623,63,39,170,1,369,352,658,11,20,11,21,1353,607,1174,495,175,58,58
2016-01-16,11255,3323,8604,267,154,5234,319,2076,1819,3469,133,54,213,26,713,550,1204,27,10,14,8,2283,1110,2575,644,77,57,40
2016-01-17,10335,2625,7040,238,101,5273,308,1892,1614,3013,137,57,175,124,644,485,1044,11,7,49,18,2405,1353,2720,586,63,74,315
2016-01-18,7052,1280,2967,168,115,4896,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-19,0,0,0,0,0,0,0,1395,511,1038,24,45,729,70,134,107,173,40,5,22,1,1866,527,704,724,97,382,486
2016-01-20,11287,1190,2574,133,104,9338,328,378,518,745,48,20,73,10,118,131,223,20,0,4,2,722,349,557,312,40,89,73
2016-01-21,8745,1225,2901,118,95,6684,172,485,704,1007,45,40,84,13,196,244,382,42,0,6,10,812,545,735,297,55,69,201
2016-01-22,8748,1352,2691,109,151,7018,131,767,644,1156,91,5,152,7,135,214,317,20,6,6,0,872,453,821,320,38,63,83
2016-01-23,11016,1528,3551,155,130,8572,136,971,719,1249,48,27,220,146,200,190,355,14,5,13,3,1262,466,882,552,145,90,59
2016-01-24,10184,1122,2766,367,182,7761,230,559,435,675,63,15,196,45,143,87,164,15,3,41,7,1169,288,615,430,45,125,242
2016-01-25,10067,1150,3151,91,74,7772,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-26,0,0,0,0,0,0,0,1632,1057,1563,71,53,888,114,382,422,662,121,1,20,0,2420,852,1460,510,88,616,598
2016-01-27,0,19022,3574,679,585,12679,1505,0,2657,2223,104,21,223,86,0,1791,1791,0,0,0,0,339,2040,2205,61,18,95,0
2016-01-28,11902,2215,4934,174,57,8444,508,784,964,1449,56,32,192,19,337,508,813,18,4,10,0,1208,690,1068,266,38,179,347
2016-01-29,11343,2377,4145,157,204,8867,347,688,966,1448,86,22,82,16,268,376,580,31,2,21,10,1444,683,1319,196,85,157,370
2016-01-30,16649,3008,7620,244,173,11271,349,1820,1442,2641,129,75,362,55,662,613,1228,42,0,5,0,2297,1141,2387,478,74,161,338
