ÀÏÀÚ,°æº¹±Ã(À¯·á),°æº¹±Ã(¹«·á),°æº¹±Ã(³»±¹ÀÎ),°æº¹±Ã(¿µ¾î±Ç),°æº¹±Ã(ÀÏº»¾î±Ç),°æº¹±Ã(Áß±¹¾î±Ç),°æº¹±Ã(±âÅ¸¿Ü±¹ÀÎ),´ö¼ö±Ã(À¯·á),´ö¼ö±Ã(¹«·á),´ö¼ö±Ã(³»±¹ÀÎ),´ö¼ö±Ã(¿µ¾î±Ç),´ö¼ö±Ã(ÀÏº»¾î±Ç),´ö¼ö±Ã(Áß±¹¾î±Ç),´ö¼ö±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢°æ±Ã(À¯·á),Ã¢°æ±Ã(¹«·á),Ã¢°æ±Ã(³»±¹ÀÎ),Ã¢°æ±Ã(¿µ¾î±Ç),Ã¢°æ±Ã(ÀÏº»¾î±Ç),Ã¢°æ±Ã(Áß±¹¾î±Ç),Ã¢°æ±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢´ö±Ã(À¯·á),Ã¢´ö±Ã(¹«·á),Ã¢´ö±Ã(³»±¹ÀÎ),Ã¢´ö±Ã(¿µ¾î±Ç),Ã¢´ö±Ã(ÀÏº»¾î±Ç),Ã¢´ö±Ã(Áß±¹¾î±Ç),Ã¢´ö±Ã(±âÅ¸¿Ü±¹ÀÎ)
2018-01-01,10239,4869,12567,659,249,460,1173,1727,1150,2436,150,80,42,169,992,513,1457,17,9,2,20,2615,1088,2871,547,82,45,158
2018-01-02,0,0,0,0,0,0,0,1476,1627,1919,291,174,268,451,464,411,720,80,25,17,33,2531,988,1621,1122,233,122,421
2018-01-03,4625,2076,5149,313,52,551,636,1885,1375,2632,219,116,95,198,258,226,377,62,24,4,17,1273,535,897,564,118,42,187
2018-01-04,3375,1709,3711,485,126,107,655,1025,1468,1782,166,189,46,310,302,317,543,37,18,9,12,1211,706,1044,565,114,33,161
2018-01-05,3758,1789,4253,333,121,205,635,1031,1724,2161,174,116,99,205,298,324,547,55,9,4,7,1371,632,1198,551,97,15,142
2018-01-06,5796,2908,7323,243,56,437,645,2082,2924,4163,221,130,233,259,741,484,1177,28,9,0,11,2160,913,2270,612,30,18,143
2018-01-07,5196,3082,6792,293,187,326,680,1914,2594,3607,206,171,78,446,641,446,987,63,8,26,3,2103,1003,2374,442,98,17,175
2018-01-08,2877,1896,3632,283,103,135,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-09,0,0,0,0,0,0,0,1058,1231,1649,154,41,132,313,330,312,584,50,3,1,4,1611,864,1675,545,28,35,192
2018-01-10,2662,1430,2915,558,54,206,359,740,1044,1379,111,64,20,210,254,209,427,28,2,5,1,935,540,1029,270,28,37,111
2018-01-11,2200,1285,2058,511,52,132,732,700,841,1116,94,35,49,247,164,124,218,45,4,21,0,1032,358,862,405,14,18,91
2018-01-12,2497,1002,1829,389,89,341,851,754,994,1314,108,47,85,194,173,124,249,34,6,8,0,808,308,630,160,37,69,220
